,Name,Classification,Released_games,Unreleased_games,Total_revenue,Avg_revenue_per_game,Med_revenue_per_game,%_developed_in_house,%_indie_releases,Action,Casual,Adventure,Simaulation,Strategy,RPG,MMO,Racing,Sports
203,ebi-hime ,Indie,28,3,463000,16534,8974,1,0.74,0,0.58,0.19,0.26,0,0,0,0,0
204,AFBIK Studio ,Indie,28,0,89218,3186,1352,0.75,1,0.14,1,0.82,0.04,0.04,0.04,0.07,0.04,0.04
205,Idea Factory International ,AA,28,0,41000000,1500000,760000,0.04,0,0.46,0,0.39,0.04,0.25,0.71,0,0,0
206,Indienova ,Indie,28,7,16400000,585000,57763,0,0.97,0.2,0.2,0.6,0.06,0.34,0.29,0,0,0
207,Cosmi/ValuSoft ,Indie,28,0,936000,33416,8667,0,0,0,0.25,0.04,0.71,0.04,0.04,0,0.18,0.04
208,Libredia ,Indie,27,0,588000,21777,6961,0,0.26,0.19,0.59,0.11,0.22,0.04,0,0,0.07,0.07
209,n/a ,Indie,27,19,664000,24606,1460,0.07,0.8,0.26,0.22,0.46,0.13,0.07,0.22,0.02,0.02,0
210,Wolverine Studios ,Indie,27,0,354000,13124,11880,1,1,0,0,0,1,0.81,0,0,0,1
211,Interplay Entertainment Corp. ,Indie,27,0,1300000,49659,11227,0.33,0,0.67,0.07,0.44,0.3,0.37,0.15,0,0.04,0.04
212,SNK CORPORATION ,Indie,27,0,40200000,1500000,165000,0.89,0,0.96,0.11,0,0,0.04,0.07,0,0,0.11
213,Marvelous ,Indie,27,3,39100000,1400000,670000,0,0.03,0.6,0.23,0.07,0.27,0.03,0.33,0,0.03,0
214,TopWare Interactive ,Indie,27,0,20700000,765000,258000,0.04,0.26,0.3,0.15,0.15,0.07,0.44,0.44,0,0,0
215,JanduSoft ,Indie,27,10,208000,7690,2273,0.27,0.86,0.65,0.3,0.59,0.16,0.08,0.16,0,0.08,0.14
216,Koch Media ,AA,27,0,648000,24000,24190,0,0,0.04,0,0,0.07,0,0,0,0,0
217,Nutaku Publishing ,Indie,27,2,63899,2367,1691,0,0.45,0.17,0.76,0.21,0.34,0.21,0.41,0,0,0
218,杰游科技 ,Indie,27,1,15400,570,211,1,1,1,0,1,0,0,0.36,0,0,0
220,HypeTrain Digital ,Indie,27,9,31900000,1200000,1700000,0.06,0.86,0.69,0.14,0.78,0.42,0.19,0.36,0,0.06,0.03
221,"CyberStep, Inc. ",Indie,27,2,21759,806,480,1,0.03,0.21,0.21,0.69,0.55,0,0.17,0.1,0,0
222,Mango Party ,Indie,26,19,5300000,204000,62131,0,0.64,0.24,0.56,0.18,0.36,0.24,0.53,0,0,0.04
223,Reddiamondgames ,Indie,26,3,5670,218,143,1,0.97,0,1,0,0.03,0,0,0,0,0
224,Whale Rock Games ,Indie,26,1,995000,38275,6733,1,1,0.74,0.44,0.93,0.37,0.22,0.22,0.26,0.11,0.11
225,FIVE-BN GAMES ,Indie,26,0,680000,26157,10550,1,0,0,0.88,1,0,0,0,0,0,0
226,IndieArk ,Indie,26,11,9500000,366000,130000,0,0.81,0.24,0.38,0.3,0.35,0.54,0.32,0,0,0
227,Quiet River ,Indie,26,0,2000000,75312,72084,1,0.96,0.04,0.88,0.04,0,0,0,0.04,0.04,0
